component_id,settlement_id,component_type,source_event_id,amount_paise,direction
COMP_TAX_B0026_1,SET_BATCH_0026,TAX_ON_FEE,PAY_B0026_1,293,DEBIT
COMP_PAY_B0026_2,SET_BATCH_0026,PAYMENT,PAY_B0026_2,91054,CREDIT
COMP_FEE_B0026_2,SET_BATCH_0026,GATEWAY_FEE,PAY_B0026_2,1821,DEBIT
COMP_TAX_B0026_2,SET_BATCH_0026,TAX_ON_FEE,PAY_B0026_2,327,DEBIT
COMP_PAY_B0027_0,SET_BATCH_0027,PAYMENT,PAY_B0027_0,147330,CREDIT
COMP_FEE_B0027_0,SET_BATCH_0027,GATEWAY_FEE,PAY_B0027_0,2946,DEBIT
COMP_TAX_B0027_0,SET_BATCH_0027,TAX_ON_FEE,PAY_B0027_0,530,DEBIT
COMP_PAY_B0027_1,SET_BATCH_0027,PAYMENT,PAY_B0027_1,74189,CREDIT
COMP_FEE_B0027_1,SET_BATCH_0027,GATEWAY_FEE,PAY_B0027_1,1483,DEBIT
COMP_TAX_B0027_1,SET_BATCH_0027,TAX_ON_FEE,PAY_B0027_1,266,DEBIT
COMP_PAY_B0027_2,SET_BATCH_0027,PAYMENT,PAY_B0027_2,81124,CREDIT
COMP_FEE_B0027_2,SET_BATCH_0027,GATEWAY_FEE,PAY_B0027_2,1622,DEBIT
COMP_TAX_B0027_2,SET_BATCH_0027,TAX_ON_FEE,PAY_B0027_2,291,DEBIT
COMP_PAY_B0027_3,SET_BATCH_0027,PAYMENT,PAY_B0027_3,86354,CREDIT
COMP_FEE_B0027_3,SET_BATCH_0027,GATEWAY_FEE,PAY_B0027_3,1727,DEBIT
COMP_TAX_B0027_3,SET_BATCH_0027,TAX_ON_FEE,PAY_B0027_3,310,DEBIT
COMP_PAY_B0027_4,SET_BATCH_0027,PAYMENT,PAY_B0027_4,103470,CREDIT
COMP_FEE_B0027_4,SET_BATCH_0027,GATEWAY_FEE,PAY_B0027_4,2069,DEBIT
COMP_TAX_B0027_4,SET_BATCH_0027,TAX_ON_FEE,PAY_B0027_4,372,DEBIT
COMP_PAY_B0028_0,SET_BATCH_0028,PAYMENT,PAY_B0028_0,99039,CREDIT
COMP_FEE_B0028_0,SET_BATCH_0028,GATEWAY_FEE,PAY_B0028_0,1980,DEBIT
COMP_TAX_B0028_0,SET_BATCH_0028,TAX_ON_FEE,PAY_B0028_0,356,DEBIT
COMP_PAY_B0028_1,SET_BATCH_0028,PAYMENT,PAY_B0028_1,31378,CREDIT
COMP_FEE_B0028_1,SET_BATCH_0028,GATEWAY_FEE,PAY_B0028_1,627,DEBIT
COMP_TAX_B0028_1,SET_BATCH_0028,TAX_ON_FEE,PAY_B0028_1,112,DEBIT
COMP_PAY_B0028_2,SET_BATCH_0028,PAYMENT,PAY_B0028_2,45922,CREDIT
COMP_FEE_B0028_2,SET_BATCH_0028,GATEWAY_FEE,PAY_B0028_2,918,DEBIT
COMP_TAX_B0028_2,SET_BATCH_0028,TAX_ON_FEE,PAY_B0028_2,165,DEBIT
COMP_PAY_B0028_3,SET_BATCH_0028,PAYMENT,PAY_B0028_3,87809,CREDIT
COMP_FEE_B0028_3,SET_BATCH_0028,GATEWAY_FEE,PAY_B0028_3,1756,DEBIT
COMP_TAX_B0028_3,SET_BATCH_0028,TAX_ON_FEE,PAY_B0028_3,316,DEBIT
COMP_PAY_B0028_4,SET_BATCH_0028,PAYMENT,PAY_B0028_4,31668,CREDIT
COMP_FEE_B0028_4,SET_BATCH_0028,GATEWAY_FEE,PAY_B0028_4,633,DEBIT
COMP_TAX_B0028_4,SET_BATCH_0028,TAX_ON_FEE,PAY_B0028_4,113,DEBIT
COMP_PAY_B0029_0,SET_BATCH_0029,PAYMENT,PAY_B0029_0,87813,CREDIT
COMP_FEE_B0029_0,SET_BATCH_0029,GATEWAY_FEE,PAY_B0029_0,1756,DEBIT
COMP_TAX_B0029_0,SET_BATCH_0029,TAX_ON_FEE,PAY_B0029_0,316,DEBIT
COMP_PAY_B0029_1,SET_BATCH_0029,PAYMENT,PAY_B0029_1,160808,CREDIT
COMP_FEE_B0029_1,SET_BATCH_0029,GATEWAY_FEE,PAY_B0029_1,3216,DEBIT
COMP_TAX_B0029_1,SET_BATCH_0029,TAX_ON_FEE,PAY_B0029_1,578,DEBIT
COMP_PAY_B0029_2,SET_BATCH_0029,PAYMENT,PAY_B0029_2,157020,CREDIT
COMP_FEE_B0029_2,SET_BATCH_0029,GATEWAY_FEE,PAY_B0029_2,3140,DEBIT
COMP_TAX_B0029_2,SET_BATCH_0029,TAX_ON_FEE,PAY_B0029_2,565,DEBIT
COMP_PAY_B0029_3,SET_BATCH_0029,PAYMENT,PAY_B0029_3,53623,CREDIT
COMP_FEE_B0029_3,SET_BATCH_0029,GATEWAY_FEE,PAY_B0029_3,1072,DEBIT
COMP_TAX_B0029_3,SET_BATCH_0029,TAX_ON_FEE,PAY_B0029_3,192,DEBIT
COMP_PAY_B0029_4,SET_BATCH_0029,PAYMENT,PAY_B0029_4,134434,CREDIT
COMP_FEE_B0029_4,SET_BATCH_0029,GATEWAY_FEE,PAY_B0029_4,2688,DEBIT
COMP_TAX_B0029_4,SET_BATCH_0029,TAX_ON_FEE,PAY_B0029_4,483,DEBIT
COMP_PAY_B0029_5,SET_BATCH_0029,PAYMENT,PAY_B0029_5,67977,CREDIT
COMP_FEE_B0029_5,SET_BATCH_0029,GATEWAY_FEE,PAY_B0029_5,1359,DEBIT
COMP_TAX_B0029_5,SET_BATCH_0029,TAX_ON_FEE,PAY_B0029_5,244,DEBIT
COMP_PAY_B0030_0,SET_BATCH_0030,PAYMENT,PAY_B0030_0,141916,CREDIT
COMP_FEE_B0030_0,SET_BATCH_0030,GATEWAY_FEE,PAY_B0030_0,2838,DEBIT
COMP_TAX_B0030_0,SET_BATCH_0030,TAX_ON_FEE,PAY_B0030_0,510,DEBIT
COMP_PAY_B0030_1,SET_BATCH_0030,PAYMENT,PAY_B0030_1,163074,CREDIT
COMP_FEE_B0030_1,SET_BATCH_0030,GATEWAY_FEE,PAY_B0030_1,3261,DEBIT
COMP_TAX_B0030_1,SET_BATCH_0030,TAX_ON_FEE,PAY_B0030_1,586,DEBIT
COMP_PAY_B0030_2,SET_BATCH_0030,PAYMENT,PAY_B0030_2,196388,CREDIT
COMP_FEE_B0030_2,SET_BATCH_0030,GATEWAY_FEE,PAY_B0030_2,3927,DEBIT
COMP_TAX_B0030_2,SET_BATCH_0030,TAX_ON_FEE,PAY_B0030_2,706,DEBIT
COMP_PAY_T0031,SET_T0031,PAYMENT,PAY_T0031,48666,CREDIT
COMP_FEE_T0031,SET_T0031,GATEWAY_FEE,PAY_T0031,973,DEBIT
COMP_TAX_T0031,SET_T0031,TAX_ON_FEE,PAY_T0031,175,DEBIT
COMP_PAY_T0032,SET_T0032,PAYMENT,PAY_T0032,334570,CREDIT
COMP_FEE_T0032,SET_T0032,GATEWAY_FEE,PAY_T0032,6691,DEBIT
COMP_TAX_T0032,SET_T0032,TAX_ON_FEE,PAY_T0032,1204,DEBIT
COMP_PAY_T0033,SET_T0033,PAYMENT,PAY_T0033,92195,CREDIT
COMP_FEE_T0033,SET_T0033,GATEWAY_FEE,PAY_T0033,1843,DEBIT
COMP_TAX_T0033,SET_T0033,TAX_ON_FEE,PAY_T0033,331,DEBIT
COMP_PAY_T0034,SET_T0034,PAYMENT,PAY_T0034,49970,CREDIT
COMP_FEE_T0034,SET_T0034,GATEWAY_FEE,PAY_T0034,999,DEBIT
COMP_TAX_T0034,SET_T0034,TAX_ON_FEE,PAY_T0034,179,DEBIT
COMP_PAY_T0035,SET_T0035,PAYMENT,PAY_T0035,44351,CREDIT
COMP_FEE_T0035,SET_T0035,GATEWAY_FEE,PAY_T0035,887,DEBIT
COMP_TAX_T0035,SET_T0035,TAX_ON_FEE,PAY_T0035,159,DEBIT
COMP_PAY_T0036,SET_T0036,PAYMENT,PAY_T0036,303230,CREDIT
COMP_FEE_T0036,SET_T0036,GATEWAY_FEE,PAY_T0036,6064,DEBIT
COMP_TAX_T0036,SET_T0036,TAX_ON_FEE,PAY_T0036,1091,DEBIT
COMP_PAY_T0037,SET_T0037,PAYMENT,PAY_T0037,273507,CREDIT
COMP_FEE_T0037,SET_T0037,GATEWAY_FEE,PAY_T0037,5470,DEBIT
COMP_TAX_T0037,SET_T0037,TAX_ON_FEE,PAY_T0037,984,DEBIT
COMP_PAY_H0038,SET_H0038,PAYMENT,PAY_H0038,228193,CREDIT
COMP_FEE_H0038,SET_H0038,GATEWAY_FEE,PAY_H0038,4563,DEBIT
COMP_TAX_H0038,SET_H0038,TAX_ON_FEE,PAY_H0038,821,DEBIT
COMP_PAY_H0039,SET_H0039,PAYMENT,PAY_H0039,70874,CREDIT
COMP_FEE_H0039,SET_H0039,GATEWAY_FEE,PAY_H0039,1417,DEBIT
COMP_TAX_H0039,SET_H0039,TAX_ON_FEE,PAY_H0039,255,DEBIT
COMP_PAY_H0040,SET_H0040,PAYMENT,PAY_H0040,61546,CREDIT
COMP_FEE_H0040,SET_H0040,GATEWAY_FEE,PAY_H0040,1230,DEBIT
COMP_TAX_H0040,SET_H0040,TAX_ON_FEE,PAY_H0040,221,DEBIT
COMP_PAY_H0041,SET_H0041,PAYMENT,PAY_H0041,102609,CREDIT
COMP_FEE_H0041,SET_H0041,GATEWAY_FEE,PAY_H0041,2052,DEBIT
COMP_TAX_H0041,SET_H0041,TAX_ON_FEE,PAY_H0041,369,DEBIT
COMP_PAY_R0042,SET_R0042,PAYMENT,PAY_R0042,366199,CREDIT
COMP_FEE_R0042,SET_R0042,GATEWAY_FEE,PAY_R0042,7323,DEBIT
COMP_TAX_R0042,SET_R0042,TAX_ON_FEE,PAY_R0042,1318,DEBIT
COMP_REF_R0042,SET_R0042,REFUND,PAY_R0042,366199,DEBIT
COMP_PAY_R0043,SET_R0043,PAYMENT,PAY_R0043,301920,CREDIT
COMP_FEE_R0043,SET_R0043,GATEWAY_FEE,PAY_R0043,6038,DEBIT
COMP_TAX_R0043,SET_R0043,TAX_ON_FEE,PAY_R0043,1086,DEBIT
COMP_REF_R0043,SET_R0043,REFUND,PAY_R0043,92551,DEBIT
COMP_PAY_R0044,SET_R0044,PAYMENT,PAY_R0044,121073,CREDIT
COMP_FEE_R0044,SET_R0044,GATEWAY_FEE,PAY_R0044,2421,DEBIT
COMP_TAX_R0044,SET_R0044,TAX_ON_FEE,PAY_R0044,435,DEBIT
COMP_REF_R0044,SET_R0044,REFUND,PAY_R0044,121073,DEBIT
COMP_PAY_R0045,SET_R0045,PAYMENT,PAY_R0045,196113,CREDIT
COMP_FEE_R0045,SET_R0045,GATEWAY_FEE,PAY_R0045,3922,DEBIT
COMP_TAX_R0045,SET_R0045,TAX_ON_FEE,PAY_R0045,705,DEBIT
COMP_REF_R0045,SET_R0045,REFUND,PAY_R0045,196113,DEBIT
COMP_PAY_R0046,SET_R0046,PAYMENT,PAY_R0046,193603,CREDIT
COMP_FEE_R0046,SET_R0046,GATEWAY_FEE,PAY_R0046,3872,DEBIT
COMP_TAX_R0046,SET_R0046,TAX_ON_FEE,PAY_R0046,696,DEBIT
COMP_REF_R0046,SET_R0046,REFUND,PAY_R0046,193603,DEBIT
COMP_PAY_R0047,SET_R0047,PAYMENT,PAY_R0047,301645,CREDIT
COMP_FEE_R0047,SET_R0047,GATEWAY_FEE,PAY_R0047,6032,DEBIT
COMP_TAX_R0047,SET_R0047,TAX_ON_FEE,PAY_R0047,1085,DEBIT
COMP_REF_R0047,SET_R0047,REFUND,PAY_R0047,301645,DEBIT
COMP_PAY_CB0048,SET_CB0048,PAYMENT,PAY_CB0048,320717,CREDIT
COMP_FEE_CB0048,SET_CB0048,GATEWAY_FEE,PAY_CB0048,6414,DEBIT
COMP_TAX_CB0048,SET_CB0048,TAX_ON_FEE,PAY_CB0048,1154,DEBIT
COMP_CB_CB0048,SET_CB0048,CHARGEBACK,PAY_CB0048,269294,DEBIT
COMP_CBR_CB0048,SET_CB0048,CHARGEBACK_REVERSAL,PAY_CB0048,269294,CREDIT
COMP_PAY_CB0049,SET_CB0049,PAYMENT,PAY_CB0049,108411,CREDIT
COMP_FEE_CB0049,SET_CB0049,GATEWAY_FEE,PAY_CB0049,2168,DEBIT
COMP_TAX_CB0049,SET_CB0049,TAX_ON_FEE,PAY_CB0049,390,DEBIT
COMP_CB_CB0049,SET_CB0049,CHARGEBACK,PAY_CB0049,81588,DEBIT
COMP_PAY_CB0050,SET_CB0050,PAYMENT,PAY_CB0050,345225,CREDIT
COMP_FEE_CB0050,SET_CB0050,GATEWAY_FEE,PAY_CB0050,6904,DEBIT
COMP_TAX_CB0050,SET_CB0050,TAX_ON_FEE,PAY_CB0050,1242,DEBIT
COMP_CB_CB0050,SET_CB0050,CHARGEBACK,PAY_CB0050,291907,DEBIT
COMP_CBR_CB0050,SET_CB0050,CHARGEBACK_REVERSAL,PAY_CB0050,291907,CREDIT
COMP_PAY_CB0051,SET_CB0051,PAYMENT,PAY_CB0051,347928,CREDIT
COMP_FEE_CB0051,SET_CB0051,GATEWAY_FEE,PAY_CB0051,6958,DEBIT
COMP_TAX_CB0051,SET_CB0051,TAX_ON_FEE,PAY_CB0051,1252,DEBIT
COMP_CB_CB0051,SET_CB0051,CHARGEBACK,PAY_CB0051,181339,DEBIT
COMP_CBR_CB0051,SET_CB0051,CHARGEBACK_REVERSAL,PAY_CB0051,181339,CREDIT
COMP_PAY_SP0052,SET_SP0052,PAYMENT,PAY_SP0052,521766,CREDIT
COMP_FEE_SP0052,SET_SP0052,GATEWAY_FEE,PAY_SP0052,10435,DEBIT
COMP_TAX_SP0052,SET_SP0052,TAX_ON_FEE,PAY_SP0052,1878,DEBIT
COMP_RES_SP0052,SET_SP0052,RESERVE_HOLD,PAY_SP0052,26890,DEBIT
COMP_PAY_SP0053,SET_SP0053,PAYMENT,PAY_SP0053,723996,CREDIT
COMP_FEE_SP0053,SET_SP0053,GATEWAY_FEE,PAY_SP0053,14479,DEBIT
COMP_TAX_SP0053,SET_SP0053,TAX_ON_FEE,PAY_SP0053,2606,DEBIT
COMP_RES_SP0053,SET_SP0053,RESERVE_HOLD,PAY_SP0053,23273,DEBIT
COMP_PAY_SP0054,SET_SP0054,PAYMENT,PAY_SP0054,598709,CREDIT
COMP_FEE_SP0054,SET_SP0054,GATEWAY_FEE,PAY_SP0054,11974,DEBIT
COMP_TAX_SP0054,SET_SP0054,TAX_ON_FEE,PAY_SP0054,2155,DEBIT
COMP_RES_SP0054,SET_SP0054,RESERVE_HOLD,PAY_SP0054,60420,DEBIT
COMP_PAY_SP0055,SET_SP0055,PAYMENT,PAY_SP0055,474201,CREDIT
COMP_FEE_SP0055,SET_SP0055,GATEWAY_FEE,PAY_SP0055,9484,DEBIT
COMP_TAX_SP0055,SET_SP0055,TAX_ON_FEE,PAY_SP0055,1707,DEBIT
COMP_RES_SP0055,SET_SP0055,RESERVE_HOLD,PAY_SP0055,14290,DEBIT
COMP_PAY_FV0056,SET_FV0056,PAYMENT,PAY_FV0056,468327,CREDIT
COMP_FEE_FV0056,SET_FV0056,GATEWAY_FEE,PAY_FV0056,10156,DEBIT
COMP_TAX_FV0056,SET_FV0056,TAX_ON_FEE,PAY_FV0056,1828,DEBIT
COMP_PAY_FV0057,SET_FV0057,PAYMENT,PAY_FV0057,112528,CREDIT
COMP_FEE_FV0057,SET_FV0057,GATEWAY_FEE,PAY_FV0057,2754,DEBIT
COMP_TAX_FV0057,SET_FV0057,TAX_ON_FEE,PAY_FV0057,495,DEBIT
COMP_PAY_FV0058,SET_FV0058,PAYMENT,PAY_FV0058,207949,CREDIT
COMP_FEE_FV0058,SET_FV0058,GATEWAY_FEE,PAY_FV0058,4779,DEBIT
